Branch,BC Code,Loan Account Number,Customer Name,Father/Husband Name,Mobile,Aadhaar,Village,Address,Loan Type,Outstanding Amount,Overdue Amount,NPA Date,Remarks
BR002,BC-002,LN00100001,Ramesh Kumar,Father of Ramesh Kumar,9876510001,123410000001,Mandal,"House 1, Mandal",Dairy Loan,28175.00,3381.00,,
BR003,BC-003,LN00100002,Sita Devi,Father of Sita Devi,9876510002,123410000002,Sahada,"House 2, Sahada",KCC,31350.00,5016.00,,
BR001,BC-004,LN00100003,Gopal Singh,Father of Gopal Singh,9876510003,123410000003,Gulabpura,"House 3, Gulabpura",SHG Loan,34525.00,6905.00,04/04/2024,
BR002,BC-001,LN00100004,Anita Sharma,Father of Anita Sharma,9876510004,123410000004,Hurda,"House 4, Hurda",Tractor Loan,37700.00,9048.00,,
BR003,BC-002,LN00100005,Mahesh Jat,Father of Mahesh Jat,9876510005,123410000005,Banera,"House 5, Banera",Crop Loan,40875.00,3270.00,,
BR001,BC-003,LN00100006,Kamla Bai,Father of Kamla Bai,9876510006,123410000006,Kotri,"House 6, Kotri",Dairy Loan,44050.00,5286.00,07/07/2024,
BR002,BC-004,LN00100007,Prakash Meena,Father of Prakash Meena,9876510007,123410000007,Mandal,"House 7, Mandal",KCC,47225.00,7556.00,,Chronic defaulter
BR003,BC-001,LN00100008,Sunita Kumari,Father of Sunita Kumari,9876510008,123410000008,Sahada,"House 8, Sahada",SHG Loan,50400.00,10080.00,,
BR001,BC-002,LN00100009,Rajesh Gurjar,Father of Rajesh Gurjar,9876510009,123410000009,Gulabpura,"House 9, Gulabpura",Tractor Loan,53575.00,12858.00,10/10/2024,
BR002,BC-003,LN00100010,Leela Devi,Father of Leela Devi,9876510010,123410000010,Hurda,"House 10, Hurda",Crop Loan,56750.00,4540.00,,
BR003,BC-004,LN00100011,Naresh Chand,Father of Naresh Chand,9876510011,123410000011,Banera,"House 11, Banera",Dairy Loan,59925.00,7191.00,,
BR001,BC-001,LN00100012,Pushpa Devi,Father of Pushpa Devi,9876510012,123410000012,Kotri,"House 12, Kotri",KCC,63100.00,10096.00,13/01/2024,
BR002,BC-002,LN00100013,Dinesh Sharma,Father of Dinesh Sharma,9876510013,123410000013,Mandal,"House 13, Mandal",SHG Loan,66275.00,13255.00,,
BR003,BC-003,LN00100014,Radha Bai,Father of Radha Bai,9876510014,123410000014,Sahada,"House 14, Sahada",Tractor Loan,69450.00,16668.00,,Chronic defaulter
